Nodes
# ID  X    Y    UX UY  FX       FY
1     0.0  0.0  1  1   0        0       
2     0.0  3.0  1  1   0        0
3     3.0  0.0  0  0   0       -10000   
4     3.0  3.0  0  0   0        0
5     6.0  0.0  1  0   0        0       
6     6.0  3.0  0  0   -10000   0       
7     9.0  0.0  0  0   0       -20000   

Elements
# ID  Ni  Nj  Area   Material
1     1   2   0.01   ST-32 
2     1   3   0.01   ST-32   
3     1   4   0.01   ST-32    
4     2   4   0.01   ST-32    
5     2   3   0.01   Iron     
6     3   5   0.01   ST-52    
7     3   6   0.01   ST-52    
8     4   5   0.01   Iron    
9     4   6   0.01   ST-52    
10    5   6   0.01   Iron      
11    5   7   0.01   Iron     
12    6   7   0.01   Iron     
